distance_km,elapsed_time_minutes,total_elevation_gain_meters,is_race
4.8484,71.33333333333333,848.0,0
4.8581,70.55,851.0,0
4.8351999999999995,66.33333333333333,848.0,0
9.3738,85.21666666666667,37.0,0
7.7415,81.91666666666667,1609.0,1
16.3506,126.26666666666667,974.0,0
4.8238,66.66666666666667,857.0,0
2.795,39.65,11.0,0
7.7181999999999995,98.36666666666666,1918.0,1
4.9031,84.3,819.0,0
4.5617,67.75,808.0,0
6.2703999999999995,51.95,963.0,1
15.312700000000001,137.56666666666666,1327.0,0
51.0175,735.9333333333333,4680.0,1
7.8406,51.55,62.0,0
4.4445,64.26666666666667,813.0,0
4.730600000000001,41.3,695.0,1
4.799,83.48333333333333,811.0,0
4.925,71.95,809.0,0
15.0737,93.36666666666666,366.0,0
31.3489,267.4,2182.0,1
30.6397,219.61666666666667,2181.0,1
10.0589,50.0,74.0,0
4.5645,70.41666666666667,809.0,0
6.8881000000000006,72.53333333333333,12.0,0
7.2246999999999995,93.73333333333333,1201.0,1
4.674,71.28333333333333,822.0,0
8.5981,72.5,892.0,1
13.142299999999999,65.33333333333333,156.0,0
5.0767,69.5,814.0,0
10.2902,50.05,115.0,0
7.7995,41.95,53.0,0
38.283,345.4166666666667,2542.0,1
17.7568,363.3,1950.0,0
5.4212,151.43333333333334,667.0,0
8.0112,292.76666666666665,686.0,0
126.714,1972.7,9023.0,1
99.99839999999999,1376.6833333333334,5407.0,0
11.334100000000001,59.95,512.0,1
4.9979,62.4,806.0,0
17.646900000000002,198.3,1150.0,0
0.0,10.0,0.0,0
6.395899999999999,43.36666666666667,5.0,0
5.6061000000000005,58.483333333333334,1136.0,1
2.2247,20.15,134.0,0
10.1008,53.46666666666667,81.0,0
4.542,62.233333333333334,808.0,0
4.5338,66.36666666666666,793.0,0
13.783700000000001,173.28333333333333,1161.0,0
8.772,52.61666666666667,676.0,1
3.6262,38.71666666666667,195.0,0
7.0424,35.81666666666667,37.0,0
5.1485,127.28333333333333,819.0,0
11.424299999999999,64.03333333333333,379.0,1
26.105,172.55,1374.3,1
4.5779,71.38333333333334,786.0,0
10.013,58.916666666666664,88.0,0
19.9226,88.31666666666666,261.0,1
5.0858,121.8,798.0,0
4.5577,77.65,798.0,0
4.581300000000001,68.33333333333333,815.0,0
4.6228,65.6,820.0,0
29.0104,311.3333333333333,1472.6,0
4.4995,66.21666666666667,816.0,0
22.4396,226.28333333333333,1404.0,0
4.497199999999999,58.6,784.0,0
3.389,21.233333333333334,5.0,0
3.2457,25.55,255.0,1
4.5981000000000005,60.43333333333333,805.0,0
4.5379,64.66666666666667,797.0,0
20.3562,152.01666666666668,886.0,1
8.2899,81.16666666666667,544.0,0
4.7424,71.16666666666667,833.0,0
8.7916,65.28333333333333,317.0,0
5.027,75.33333333333333,810.0,0
11.2858,54.03333333333333,197.0,0
4.575699999999999,73.55,795.0,0
5.0608,72.56666666666666,807.2,0
24.6052,167.28333333333333,1436.3,1
4.6011999999999995,65.63333333333334,819.0,0
4.5533,72.08333333333333,812.0,0
4.566,67.33333333333333,782.9,0
27.395599999999998,267.96666666666664,1552.0,0
4.5396,59.583333333333336,779.0,0
4.5966000000000005,73.31666666666666,793.0,0
4.5537,58.483333333333334,778.0,0
4.5531999999999995,64.51666666666667,792.0,0
4.5883,66.66666666666667,784.0,0
4.907100000000001,88.45,797.0,0
10.001299999999999,69.81666666666666,186.0,0
4.5897,73.03333333333333,804.0,0
7.7466,50.55,169.0,0
33.3231,208.73333333333332,1733.0,1
4.3013,20.4,33.0,0
4.8027,86.33333333333333,784.7,0
7.0471,32.11666666666667,11.0,0
4.6676,67.73333333333333,801.0,0
7.7236,97.93333333333334,1010.0,0
4.5392,64.16666666666667,804.0,0
4.5812,74.05,778.0,0
4.5793,69.53333333333333,784.0,0
4.539899999999999,60.18333333333333,807.0,0
4.785100000000001,54.95,806.0,0
10.3184,56.31666666666667,41.0,0
4.4731000000000005,57.983333333333334,791.0,0
12.5205,147.35,864.7,0
4.5571,65.48333333333333,812.0,0
4.682,63.083333333333336,817.0,0
